id,dim_1_id,attr_1,attr_2,attr_3,date_associated,numerator,denominator,created_at,updated_at,loaded_by,metric_id_id,row_status
1,11,Sheilah,Oral,,2014-08-01,22,40,2016-11-05 17:42:59.710727,2016-11-05 17:42:59.820030,,1,1
2,11,Hanna,Oral,,2014-08-01,28,40,2016-11-05 17:42:59.943091,2016-11-05 17:43:00.070307,,1,1
3,11,Angel,Oral,,2014-08-01,34,40,2016-11-05 17:43:00.179360,2016-11-05 17:43:00.264394,,1,1
4,11,Cierra,Oral,,2014-08-01,34,40,2016-11-05 17:43:00.378697,2016-11-05 17:43:00.475732,,1,1
5,11,Peg,Oral,,2014-08-01,32,40,2016-11-05 17:43:00.579199,2016-11-05 17:43:00.664563,,1,1
6,11,Karole,Oral,,2014-08-01,28,40,2016-11-05 17:43:00.778255,2016-11-05 17:43:00.864386,,1,1
7,11,Eliz,Oral,,2014-08-01,15,40,2016-11-05 17:43:00.968740,2016-11-05 17:43:01.064445,,1,1
8,11,Laurence,Oral,,2014-08-01,39,40,2016-11-05 17:43:01.168734,2016-11-05 17:43:01.264442,,1,1
9,11,Lenora,Oral,,2014-08-01,25,40,2016-11-05 17:43:01.412607,2016-11-05 17:43:01.520030,,1,1
10,11,Chelsie,Oral,,2014-08-01,38,40,2016-11-05 17:43:01.623086,2016-11-05 17:43:01.708956,,1,1
11,11,Shawn,Oral,,2014-08-01,18,40,2016-11-05 17:43:01.801003,2016-11-05 17:43:01.931109,,1,1
12,11,Laurette,Oral,,2014-08-01,38,40,2016-11-05 17:43:02.056855,2016-11-05 17:43:02.142496,,1,1
13,11,Susie,Oral,,2014-08-01,32,40,2016-11-05 17:43:02.233950,2016-11-05 17:43:02.353366,,1,1
14,11,Shanelle,Oral,,2014-08-01,30,40,2016-11-05 17:43:02.446536,2016-11-05 17:43:02.542352,,1,1
15,11,Sol,Oral,,2014-08-01,23,40,2016-11-05 17:43:02.634321,2016-11-05 17:43:02.742496,,1,1
16,11,Paulene,Oral,,2014-08-01,38,40,2016-11-05 17:43:02.834027,2016-11-05 17:43:02.931193,,1,1
17,11,Laurence,Oral,,2014-08-01,20,40,2016-11-05 17:43:03.023190,2016-11-05 17:43:03.131396,,1,1
18,11,Vernie,Oral,,2014-08-01,19,40,2016-11-05 17:43:03.247856,2016-11-05 17:43:03.331200,,1,1
19,11,Sherryl,Oral,,2014-08-01,29,40,2016-11-05 17:43:03.422814,2016-11-05 17:43:03.531160,,1,1
20,11,Joellen,Oral,,2014-08-01,31,40,2016-11-05 17:43:03.623309,2016-11-05 17:43:03.720160,,1,1
21,11,Georgene,Oral,,2014-08-01,21,40,2016-11-05 17:43:03.811571,2016-11-05 17:43:03.955792,,1,1
22,11,Mariel,Oral,,2014-08-01,35,40,2016-11-05 17:43:04.079589,2016-11-05 17:43:04.186776,,1,1
23,11,Hermina,Oral,,2014-08-01,39,40,2016-11-05 17:43:04.289742,2016-11-05 17:43:04.375755,,1,1
24,11,Morgan,Oral,,2014-08-01,38,40,2016-11-05 17:43:04.467241,2016-11-05 17:43:04.575941,,1,1
25,11,Elicia,Oral,,2014-08-01,15,40,2016-11-05 17:43:04.700820,2016-11-05 17:43:04.797922,,1,1
26,11,Quentin,Oral,,2014-08-01,32,40,2016-11-05 17:43:04.880919,2016-11-05 17:43:04.975867,,1,1
27,11,Bari,Oral,,2014-08-01,16,40,2016-11-05 17:43:05.069775,2016-11-05 17:43:05.175729,,1,1
28,11,Denice,Oral,,2014-08-01,23,40,2016-11-05 17:43:05.268041,2016-11-05 17:43:05.353460,,1,1
29,11,Sam,Oral,,2014-08-01,29,40,2016-11-05 17:43:05.468068,2016-11-05 17:43:05.575720,,1,1
30,11,Kenton,Oral,,2014-08-01,26,40,2016-11-05 17:43:05.657484,2016-11-05 17:43:05.742576,,1,1
31,11,Sheilah,Written,,2014-10-01,59,60,2016-11-05 17:43:05.858348,2016-11-05 17:43:05.964632,,1,1
32,11,Hanna,Written,,2014-10-01,31,60,2016-11-05 17:43:06.056695,2016-11-05 17:43:06.164612,,1,1
33,11,Angel,Written,,2014-10-01,41,60,2016-11-05 17:43:06.258078,2016-11-05 17:43:06.398037,,1,1
34,11,Cierra,Written,,2014-10-01,50,60,2016-11-05 17:43:06.491526,2016-11-05 17:43:06.575808,,1,1
35,11,Peg,Written,,2014-10-01,55,60,2016-11-05 17:43:06.657826,2016-11-05 17:43:06.775821,,1,1
36,11,Karole,Written,,2014-10-01,47,60,2016-11-05 17:43:06.900714,2016-11-05 17:43:07.020337,,1,1
37,11,Eliz,Written,,2014-10-01,44,60,2016-11-05 17:43:07.134310,2016-11-05 17:43:07.220383,,1,1
38,11,Laurence,Written,,2014-10-01,27,60,2016-11-05 17:43:07.300722,2016-11-05 17:43:07.409142,,1,1
39,11,Lenora,Written,,2014-10-01,54,60,2016-11-05 17:43:07.490425,2016-11-05 17:43:07.575838,,1,1
40,11,Chelsie,Written,,2014-10-01,40,60,2016-11-05 17:43:07.690559,2016-11-05 17:43:07.809170,,1,1
41,11,Shawn,Written,,2014-10-01,28,60,2016-11-05 17:43:07.902708,2016-11-05 17:43:07.998219,,1,1
42,11,Laurette,Written,,2014-10-01,43,60,2016-11-05 17:43:08.091501,2016-11-05 17:43:08.198079,,1,1
43,11,Susie,Written,,2014-10-01,45,60,2016-11-05 17:43:08.300771,2016-11-05 17:43:08.387053,,1,1
